"","OTUID","Warming","Control","delta.eaf","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"139","OTU_198",0.274685370614425,0.130424523022916,0.14426084759151,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Mangrovicoccus","Mangrovicoccus sp. HB161399"
"140","OTU_199",0.252534014836976,0,0.252534014836976,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium japonicum"
"141","OTU_1991",0.326250149998508,0,0.326250149998508,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"142","OTU_2",0.408440754091645,0,0.408440754091645,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"143","OTU_20",0.274853565171514,0,0.274853565171514,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Consotaella","Consotaella salsifontis"
"144","OTU_2002",0.235309123197388,0,0.235309123197388,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospirillum","Magnetospirillum sp."
"145","OTU_2009",0.350350225646045,0,0.350350225646045,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga sp. T4"
"146","OTU_201",0.549885502655177,0,0.549885502655177,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix","Calothrix sp. NIES-2100"
"147","OTU_2089",0,0.176594429600519,-0.176594429600519,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Halotia","Halotia wernerae"
"148","OTU_209",0.181901962036802,0,0.181901962036802,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","Hydrogenophaga sp. T4"
"149","OTU_21",0.254947096259879,0,0.254947096259879,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp. Red267"
"150","OTU_210",0.296359073422912,0,0.296359073422912,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae","Methylosinus","Methylosinus sp. LW4"
"151","OTU_21094",0,0.167564396808412,-0.167564396808412,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"152","OTU_21391",0.47642767768217,0.18856435406785,0.28786332361432,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc","unknown Nostoc"
"153","OTU_215",0.270805038496158,0,0.270805038496158,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Rhodoplanes roseus"
