"","otu_id","treatment","2.5%","50%","97.5%","p_val"
"1","OTU_1","Control",-0.0192892287625267,0.0829328841823002,0.18614317332268,0.07
"2","OTU_1","Warming",0.194102858206048,0.378418955230135,0.543590909929009,0
"3","OTU_10","Control",0.000922646552397744,0.12369258185642,0.231702053656369,0.023
"4","OTU_10","Warming",0.21778794009335,0.401675491326715,0.530797871265599,0
"5","OTU_10017","Control",-0.0660871137656962,0.108245157367867,0.301849040529072,0.106060606060606
"6","OTU_10098","Control",-0.102633971085581,0.10910927349988,0.469205200873467,0.1825
"7","OTU_10098","Warming",0.189448384793477,0.512862080120429,0.827523744435976,0
"8","OTU_101","Control",-0.0476595605510747,0.0389184571721307,0.131938883929464,0.197
"9","OTU_101","Warming",0.155295917433092,0.261580350857281,0.364111602838557,0
"10","OTU_1014","Control",-0.0994877840792402,0.0207424378364989,0.140262127963935,0.366583541147132
"11","OTU_1014","Warming",-0.0541788957113552,0.103440929207957,0.276634868431197,0.109947643979058
"12","OTU_10142","Control",-0.0438759596223831,0.183016893012594,0.485017966197731,0.0952380952380952
"13","OTU_10142","Warming",0.256443983256934,0.427066400328708,0.644212378101422,0
"14","OTU_1016","Warming",0.0109161858231897,0.397982868420141,0.67722959743284,0.0165289256198347
"15","OTU_102","Warming",0.0616226650997295,0.262454832700348,0.476470608810927,0
"16","OTU_1036","Warming",0.072464865597173,0.204470525585998,0.364350242036695,0
"17","OTU_10372","Control",0.0729083393068963,0.157330223702889,0.251122548674303,0
"18","OTU_1046","Warming",-0.0359492968008146,0.10535709966809,0.198910143736429,0.0795454545454546
"19","OTU_1047","Control",-0.0147841136602287,0.12923289609946,0.264305601205886,0.041
"20","OTU_1047","Warming",0.47569632739121,0.632985211998007,0.731173966771672,0
"21","OTU_105","Control",-0.222165669069251,-0.0577352656704989,0.101939760531485,0.753554502369668
"22","OTU_1052","Control",-0.233831833542841,-0.0120440463714206,0.156178098337965,0.566844919786096
"23","OTU_10566","Warming",0.159080676852193,0.34523759636498,0.587290598752702,0
"24","OTU_106","Control",-0.0572009121979442,0.00774310949027953,0.0740828731610746,0.39154616240267
"25","OTU_10633","Control",-0.185654110515105,0.0910012073939209,0.431973675745327,0.266187050359712
"26","OTU_10633","Warming",0.137705547165166,0.360957367144741,0.658954056497571,0
"27","OTU_1066","Control",-0.38074203225583,-0.0847633135361993,0.184936829890545,0.723809523809524
"28","OTU_1066","Warming",-0.00150196130101123,0.17886095462735,0.422218648818473,0.0271493212669683
"29","OTU_10677","Control",-0.138424729732074,0.0211480925328399,0.189412006905714,0.405797101449275
"30","OTU_1069","Control",0.230391912980929,0.344791340357626,0.486923344049137,0
"31","OTU_107","Control",0.0172123591204601,0.116527455807874,0.227325265105408,0.012
"32","OTU_107","Warming",0.398905159839322,0.512387341194583,0.644552900587967,0
"33","OTU_10707","Warming",0.0909204686892854,0.343352829637325,0.72000458997292,0
