"","otu_id","sampleID","timepoint","isotope","ecosystem","treatment","rep","Kingdom","Phylum","Class","Order","Family","Genus","wvd","abund","light","label","gc_prop","mw_light","mw_label","mw_max","nat_abund","eaf"
"1","OTU_1","W1_Moss_21",7,"15N","moss","Control",1,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",1.2789929709505e-05,5760057.40053656,1.70996169925157,1.71482884437075,0.765270750024761,308.070574292012,308.947450185014,311.972507441366,0.003663004,0.223905397570068
"2","OTU_1","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",4.6001977119943e-05,94014.0601950882,1.70996169925157,1.71118896191908,0.765270750024761,308.070574292012,308.291680715012,311.972507441366,0.003663004,0.0564582992212451
"3","OTU_1","W1_Moss_23",7,"15N","moss","Control",3,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",4.49675087551093e-05,66298.7845983773,1.70996169925157,1.71085969666958,0.765270750024761,308.070574292012,308.232359541588,311.972507441366,0.003663004,0.0413109664850298
"4","OTU_1","W1_Moss_24",7,"15N","moss","Control",4,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",9.94417689337594e-06,1324733.89113327,1.70996169925157,1.70752923583075,0.765270750024761,308.070574292012,307.632336170466,311.972507441366,0.003663004,-0.111901674590953
"5","OTU_1","W1_Moss_25",7,"15N","moss","Control",5,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",3.19421822424402e-05,6375405.72834739,1.70996169925157,1.71315200305943,0.765270750024761,308.070574292012,308.645346654857,311.972507441366,0.003663004,0.146764936112602
"6","OTU_1","W1_Moss_26",7,"15N","moss","Control",6,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",1.12677898917908e-05,781758.393470923,1.70996169925157,1.71293242679165,0.765270750024761,308.070574292012,308.605787296923,311.972507441366,0.003663004,0.136663673395046
"7","OTU_1","W1_Moss_27",7,"15N","moss","Warming",1,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",3.81928390979395e-05,143474.584431253,1.70996169925157,1.72530407034169,0.765270750024761,308.070574292012,310.834690631463,311.972507441366,0.003663004,0.70580178204719
"8","OTU_1","W1_Moss_28",7,"15N","moss","Warming",2,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",1.76725739522302e-05,3081176.43805148,1.70996169925157,1.7192584612888,0.765270750024761,308.070574292012,309.745500005915,311.972507441366,0.003663004,0.42768299466886
"9","OTU_1","W1_Moss_29",7,"15N","moss","Warming",3,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",2.76627849279795e-05,494818.75524485,1.70996169925157,1.71698355725311,0.765270750024761,308.070574292012,309.335648140204,311.972507441366,0.003663004,0.323029593122257
"10","OTU_1","W1_Moss_30",7,"15N","moss","Warming",4,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",1.43257737582678e-05,602957.973485975,1.70996169925157,1.71885322644022,0.765270750024761,308.070574292012,309.672491977384,311.972507441366,0.003663004,0.409040799365647
"11","OTU_1","W1_Moss_31",7,"15N","moss","Warming",5,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",1.58591494862935e-05,3468667.37610666,1.70996169925157,1.71832634866825,0.765270750024761,308.070574292012,309.577568484149,311.972507441366,0.003663004,0.384802611657119
"12","OTU_1","W1_Moss_32",7,"15N","moss","Warming",6,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Nostoc",1.37234716495344e-05,65635.1882932419,1.70996169925157,1.70999207105513,0.765270750024761,308.070574292012,308.07604614496,311.972507441366,0.003663004,0.00139720731237026
"13","OTU_10","W1_Moss_21",7,"15N","moss","Control",1,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix",2.35886132846642e-05,2698741.48872851,1.71206402603694,1.71847112048882,0.790446507280202,308.083061467611,309.23600741112,311.997645059866,0.003663004,0.293446971008244
"14","OTU_10","W1_Moss_22",7,"15N","moss","Control",2,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix",5.81085751660414e-05,68335.1432733556,1.71206402603694,1.71447624066886,0.790446507280202,308.083061467611,308.517135460999,311.997645059866,0.003663004,0.110480200108666
"15","OTU_10","W1_Moss_23",7,"15N","moss","Control",3,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix",4.07851925333098e-05,267176.658819978,1.71206402603694,1.7155674261073,0.790446507280202,308.083061467611,308.713492457813,311.997645059866,0.003663004,0.160456841490257
"16","OTU_10","W1_Moss_24",7,"15N","moss","Control",4,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix",2.13811088892893e-05,671499.498780342,1.71206402603694,1.709362719022,0.790446507280202,308.083061467611,307.596965782828,311.997645059866,0.003663004,-0.123720723528029
"17","OTU_10","W1_Moss_25",7,"15N","moss","Control",5,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix",2.81572564606332e-05,20407358.302246,1.71206402603694,1.71666413178466,0.790446507280202,308.083061467611,308.910842812397,311.997645059866,0.003663004,0.210686311576077
