"otu_id","W1_Moss_21","W1_Moss_22","W1_Moss_23","W1_Moss_24","W1_Moss_25","W1_Moss_26","W1_Moss_27","W1_Moss_28","W1_Moss_29","W1_Moss_30","W1_Moss_31","W1_Moss_32"
"OTU_10098",0,0,0,0,0,0,0.726136716406585,0.391006412513525,0.367655988639806,0,0,0
"OTU_10142",0,0,0,0,0,0,0.807993948329105,0.383366308174892,0.416833951818574,0.312190135887819,0.264724348013484,0
"OTU_1016",0,0,0,0,0,0,0,0,0,0.472963394646342,0.241021215525115,0.363634808701188
"OTU_101",0,0,0,0,0,0,0.2915734216519,0.36334412522426,0.214104341814449,0.358242658553661,0.129184652804788,0.194885331744209
"OTU_102",0,0,0,0,0,0,0.43031821887361,0.12118424843561,0,0.37614610171318,0.179562319441625,0
"OTU_1036",0,0,0,0,0,0,0.56500586169944,0.215110527993794,0.105919981071547,0.270515810682862,0.0404163095264852,0.0292139186425025
"OTU_10372",0.273320900629282,0.0443065861837483,0.170681535160284,0,0.128346293167639,0.189244784867698,0,0,0,0,0,0
"OTU_1047",0.29634888698573,0.0276770766066176,0.0755536779154593,0,0.244934252746922,0.265093385670152,0.704876573455367,0.530953153929844,0.672832325251473,0,0,0
"OTU_10566",0,0,0,0,0,0,0.43169947495432,0.551673679041873,0.20411125648487,0.38827478660363,0.204099299183407,0
"OTU_10633",0,0,0,0,0,0,0.432613297335971,0,0,0.429006884271109,0.195202989623445,0.362762608378505
"OTU_1066",0,0,0,0,0,0,0.230778595323539,0.224349819659809,0,0.251219276119512,0.0908662965757726,0
"OTU_1069",0.48753962214112,0.442573643134864,0.263349124651657,0.189840631521972,0,0,0,0,0,0,0,0
"OTU_10707",0,0,0,0,0,0,0.526950440136284,0,0,0.427659763150193,0.187680325070953,0
"OTU_1074",0.112059775013396,0.178531401189403,0.142028685359545,0.082808738822409,0,0.221434080308527,0.39151032807834,0.389049617757084,0.275020473153716,0.371355473701683,0.22375616980794,0.184507910733251
"OTU_107",0.177471540440982,0.2478436242163,0.0303748412959071,0,0.119690139990697,0.181040843118653,0.503618948478246,0.393113840675195,0.412444742434984,0.729201491223349,0.561984578323227,0
